"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"	"Ensembl"
"1552731_at"	0.0512873604877537	1.70626698366219e-06	6.15339689896892	2.40909489263301	1.36567057202393	"ABRA"	"actin binding Rho activating protein"	"ENSG00000174429"
"1552732_at"	0.267676274739476	1.86176603859906e-05	5.23139344148557	1.08548135111768	1.16236292039365	"ABRA"	"actin binding Rho activating protein"	"ENSG00000174429"
"213355_at"	0.267676274739476	1.9583083657209e-05	-5.21211297074187	1.05645420797036	-0.972112254361402	"ST3GAL6"	"ST3 beta-galactoside alpha-2,3-sialyltransferase 6"	"ENSG00000064225"
"202149_at"	0.270740460290084	3.25101528765358e-05	5.01909713785077	0.763180144254321	1.00958511043193	"NEDD9"	"neural precursor cell expressed, developmentally down-regulated 9"	"ENSG00000111859"
"1561361_at"	0.270740460290084	3.44823862936149e-05	4.99669916153773	0.72884338448635	1.55103301015151	"ZNF660"	"zinc finger protein 660"	"ENSG00000144792"
"223973_at"	0.319720838133802	5.4982264308569e-05	4.81940253736045	0.454962405509258	1.93263896258865	"MIR7-3HG"	"MIR7-3 host gene"	"ENSG00000176840"
"232156_at"	0.319720838133802	5.84766050541934e-05	-4.79599971495195	0.418547470205724	-0.67902110949723	"AP5M1"	"adaptor related protein complex 5 mu 1 subunit"	"ENSG00000053770"
"207384_at"	0.366690110619415	7.37739591552549e-05	4.70774522921754	0.280707870242574	1.05081015979153	"PGLYRP1"	"peptidoglycan recognition protein 1"	"ENSG00000008438"
"1563070_at"	0.408835110407352	8.97306140811747e-05	4.63337456612418	0.163951893715485	1.73724207906864	"LINC01395"	"long intergenic non-protein coding RNA 1395"	"ENSG00000281097"
"1553347_s_at"	0.423980130273538	0.000108563727916407	4.56098753160244	0.0498191067691911	1.27203599425302	"KCNA6"	"potassium voltage-gated channel subfamily A member 6"	"ENSG00000151079"
"207800_at"	0.429268150342213	0.000123800788176894	4.51106726982783	-0.0291538125505371	1.40366902606819	"AKAP5"	"A-kinase anchoring protein 5"	"ENSG00000179841"
"235397_at"	0.429268150342213	0.000127043933791726	4.50123571903923	-0.044731247680275	0.868841637735156	"LINC00174"	"long intergenic non-protein coding RNA 174"	"ENSG00000179406"
"222848_at"	0.429268150342213	0.000133471578524328	4.48246829134663	-0.0744883092297624	2.20823657616943	"CENPK"	"centromere protein K"	"ENSG00000123219"
"244572_at"	0.496168296260671	0.000172882716410493	-4.3840197551916	-0.231018781445909	-1.04049266464648	"KY"	"kyphoscoliosis peptidase"	"ENSG00000174611"
"206799_at"	0.496168296260671	0.00018071176996161	-4.36715323858271	-0.257904569092136	-2.17595732233677	"SCGB1D2"	"secretoglobin family 1D member 2"	"ENSG00000124935"
"207914_x_at"	0.496168296260671	0.000190950441114982	4.34615958244156	-0.29139519212934	1.14783660018526	"EVX1"	"even-skipped homeobox 1"	"ENSG00000106038"
"236859_at"	0.496168296260671	0.000204281747571278	4.32044130709319	-0.332460816743413	1.35313589270023	"RUNX2"	"runt related transcription factor 2"	"ENSG00000124813"
"230458_at"	0.496168296260671	0.000222501215989329	4.2878664616621	-0.384531801079609	1.34877614684057	"SLC45A1"	"solute carrier family 45 member 1"	"ENSG00000162426"
"212779_at"	0.496168296260671	0.000228969743240787	-4.27693496236797	-0.402019516566942	-0.828781796324972	"KIAA1109"	"KIAA1109"	"ENSG00000138688"
"237828_at"	0.496168296260671	0.000242968215841697	4.25429122199782	-0.438264839962074	1.50214498677314	"SRRM4"	"serine/arginine repetitive matrix 4"	"ENSG00000139767"
"238491_at"	0.496168296260671	0.000245021380869467	4.25107933452813	-0.443408258357876	1.33189613212202	"TAF1A-AS1"	"TAF1A antisense RNA 1"	"ENSG00000225265"
"238439_at"	0.496239400575648	0.000298377659912611	4.17581231962586	-0.564084722246174	1.94190013300735	"ANKRD22"	"ankyrin repeat domain 22"	"ENSG00000152766"
"243410_at"	0.496239400575648	0.000300427550265573	-4.17319415996282	-0.568287157581174	-1.12312463453204	"PTPN2"	"protein tyrosine phosphatase, non-receptor type 2"	"ENSG00000175354"
"224169_at"	0.496239400575648	0.000310345942525264	-4.16077095746703	-0.588231737491048	-1.29256808599816	"NPFFR2"	"neuropeptide FF receptor 2"	"ENSG00000056291"
"209081_s_at"	0.496239400575648	0.000323495882776995	4.14489270677595	-0.613732406596457	1.51411850061385	"COL18A1"	"collagen type XVIII alpha 1 chain"	"ENSG00000182871"
"202833_s_at"	0.496239400575648	0.000327714703934425	4.13993368497171	-0.621698712540287	1.66915665922293	"SERPINA1"	"serpin family A member 1"	"ENSG00000277377"
"214296_x_at"	0.496239400575648	0.000337750431353491	4.12838649943385	-0.640252081148522	1.43864547842742	"IZUMO4"	"IZUMO family member 4"	"ENSG00000099840"
"201867_s_at"	0.496239400575648	0.000344894325045718	-4.12037164894559	-0.653132820359328	-2.23862332893713	"TBL1X"	"transducin (beta)-like 1X-linked"	"ENSG00000101849"
"219734_at"	0.562982047106076	0.000410721389494828	4.0534094614514	-0.76083270679371	0.589340521347829	"SIDT1"	"SID1 transmembrane family member 1"	"ENSG00000072858"
"206039_at"	0.562982047106076	0.000435592907986401	4.03083935994438	-0.797163355236399	1.49350788792398	"RAB33A"	"RAB33A, member RAS oncogene family"	"ENSG00000134594"
"205413_at"	0.562982047106076	0.00043702094074528	-4.02958238525717	-0.799187060592518	-0.811914969604128	"MPPED2"	"metallophosphoesterase domain containing 2"	"ENSG00000066382"
"230662_at"	0.562982047106076	0.000442102710366431	4.02514198850135	-0.806336317976325	1.66066586837748	"RNF187"	"ring finger protein 187"	"ENSG00000168159"
"202305_s_at"	0.562982047106076	0.000442765944683334	4.02456618119216	-0.807263430272966	0.858569805115843	"FEZ2"	"fasciculation and elongation protein zeta 2"	"ENSG00000171055"
"203823_at"	0.570926328239963	0.000485339153656079	-3.98928009776678	-0.864091661831743	-0.798493454259262	"RGS3"	"regulator of G-protein signaling 3"	"ENSG00000138835"
"218335_x_at"	0.570926328239963	0.000488807253396823	3.98654154253294	-0.868503147859801	0.506940928513881	"TNIP2"	"TNFAIP3 interacting protein 2"	"ENSG00000168884"
"238695_s_at"	0.570926328239963	0.000515970331619979	3.96573238497298	-0.90202845804605	2.20087027372474	"RAB39B"	"RAB39B, member RAS oncogene family"	"ENSG00000155961"
"227285_at"	0.570926328239963	0.000518594655975214	-3.96377946772674	-0.905175130480534	-0.628009597099981	"CIART"	"circadian associated repressor of transcription"	"ENSG00000159208"
"212225_at"	0.570926328239963	0.000522109125047977	-3.96117934031506	-0.909364719946813	-1.12097826188664	"EIF1"	"eukaryotic translation initiation factor 1"	"ENSG00000173812"
"235065_at"	0.586194404913285	0.000615716586844012	-3.8976114114226	-1.01181631967823	-0.61942511862526	"GAREM1"	"GRB2 associated regulator of MAPK1 subtype 1"	"ENSG00000141441"
"233742_at"	0.586194404913285	0.000632564607039484	-3.88718979326521	-1.02861576832593	-1.5261177434145	"METTL22"	"methyltransferase like 22"	"ENSG00000067365"
"217992_s_at"	0.587787195793631	0.000650053926254269	3.8766564299368	-1.04559576826268	0.69069067640161	"EFHD2"	"EF-hand domain family member D2"	"ENSG00000142634"
"222234_s_at"	0.587787195793631	0.000666535091709284	3.86698226530256	-1.06119094578033	1.19790944156349	"DBNDD1"	"dysbindin domain containing 1"	"ENSG00000003249"
"235046_at"	0.597437616997645	0.00068840548460634	-3.85450162325147	-1.08131037879513	-0.800259855477394	"INPP4B"	"inositol polyphosphate-4-phosphatase type II B"	"ENSG00000109452"
"222764_at"	0.624411219944813	0.000734423756374903	3.82946618534893	-1.12166797836425	1.13789098339704	"ASRGL1"	"asparaginase like 1"	"ENSG00000162174"
"200808_s_at"	0.624411219944813	0.000767509720949753	3.81240112406542	-1.14917556820608	0.646207730422587	"ZYX"	"zyxin"	"ENSG00000159840"
"204235_s_at"	0.624411219944813	0.000773115832172546	-3.80958136016645	-1.1537206244118	-0.482280357181864	"GULP1"	"GULP, engulfment adaptor PTB domain containing 1"	"ENSG00000144366"
"1561098_at"	0.624411219944813	0.000776588257087285	3.80784484848411	-1.15651960169375	1.57039984750962	"LINC00616"	"long intergenic non-protein coding RNA 616"	"ENSG00000248307"
"221583_s_at"	0.6446102978938	0.000813499964420159	-3.78984295664193	-1.18553414264241	-1.09887565092047	"KCNMA1"	"potassium calcium-activated channel subfamily M alpha 1"	"ENSG00000156113"
"1553298_at"	0.646692800841271	0.000843782146009486	3.77566301140737	-1.20838619171497	1.80230867440538	"C17orf77"	"chromosome 17 open reading frame 77"	"ENSG00000182352"
"207352_s_at"	0.646692800841271	0.000883143978228387	3.75795968115446	-1.23691264680363	0.751302874509481	"GABRB2"	"gamma-aminobutyric acid type A receptor beta2 subunit"	"ENSG00000145864"
"209116_x_at"	0.646692800841271	0.000917459980915026	3.74314589443529	-1.26077917192985	1.0090280274985	"HBB"	"hemoglobin subunit beta"	"ENSG00000244734"
"200974_at"	0.646692800841271	0.000940130377494094	3.73365433926544	-1.27606894445146	0.738786071543331	"ACTA2"	"actin, alpha 2, smooth muscle, aorta"	"ENSG00000107796"
"211217_s_at"	0.646692800841271	0.00094255801209164	3.73265127134882	-1.27768466554599	1.47955521189634	"KCNQ1"	"potassium voltage-gated channel subfamily Q member 1"	"ENSG00000282076"
"1562364_at"	0.646692800841271	0.000943815046956085	3.7321328745635	-1.27851968046208	1.95865621505454	"GVINP1"	"GTPase, very large interferon inducible pseudogene 1"	"ENSG00000254838"
"218486_at"	0.646692800841271	0.00099476540935796	3.71167095426947	-1.31147443844164	0.614418788157368	"KLF11"	"Kruppel like factor 11"	"ENSG00000172059"
"234986_at"	0.646692800841271	0.00101272907598232	-3.70470062494976	-1.32269825900441	-0.707094659599019	"GCLM"	"glutamate-cysteine ligase modifier subunit"	"ENSG00000023909"
"231035_s_at"	0.646692800841271	0.00102730249812606	3.69913414609677	-1.33166070198048	1.13063840750173	"OTUD1"	"OTU deubiquitinase 1"	"ENSG00000165312"
"219386_s_at"	0.646692800841271	0.00103251404406218	3.69716228338877	-1.33483535823914	1.79330667059077	"SLAMF8"	"SLAM family member 8"	"ENSG00000158714"
"226678_at"	0.646692800841271	0.00111702562250354	3.66647736460827	-1.38422364236227	1.14071967278888	"UNC13D"	"unc-13 homolog D"	"ENSG00000092929"
"233436_at"	0.646692800841271	0.00113361744430165	3.66072070101245	-1.3934860570426	1.31641075938411	"MTBP"	"MDM2 binding protein"	"ENSG00000172167"
"1563595_at"	0.646692800841271	0.00114576599733227	3.6565576663589	-1.40018368059981	1.41956016978647	"SRGAP3"	"SLIT-ROBO Rho GTPase activating protein 3"	"ENSG00000196220"
"219335_at"	0.646692800841271	0.00118413557044738	-3.64368700238372	-1.42088678448581	-0.714659439753571	"ARMCX5"	"armadillo repeat containing, X-linked 5"	"ENSG00000125962"
"215052_at"	0.646692800841271	0.00118431209612155	3.64362873579304	-1.42098049635417	1.41443071544575	"FRMPD4"	"FERM and PDZ domain containing 4"	"ENSG00000169933"
"236312_at"	0.646692800841271	0.00118783106002141	3.64246898355234	-1.42284573528597	1.73009860558253	"MAD2L1"	"MAD2 mitotic arrest deficient-like 1 (yeast)"	"ENSG00000164109"
"217495_x_at"	0.646692800841271	0.00121258457324213	3.63440454145929	-1.43581452562682	1.15609592424689	"CALCA"	"calcitonin related polypeptide alpha"	"ENSG00000110680"
"217411_s_at"	0.646692800841271	0.00125938044784232	3.61958891333815	-1.45963396716448	1.10934798355044	"RREB1"	"ras responsive element binding protein 1"	"ENSG00000124782"
"236380_at"	0.646692800841271	0.00126704146271548	-3.61721476343354	-1.46345016534598	-0.989089546408636	"RPP14"	"ribonuclease P/MRP subunit p14"	"ENSG00000163684"
"204172_at"	0.646692800841271	0.00129840399180039	-3.60763944380895	-1.47883921893962	-0.481362246587578	"CPOX"	"coproporphyrinogen oxidase"	"ENSG00000080819"
"1554744_at"	0.646692800841271	0.00130166109480304	3.60665798912837	-1.48041636220366	1.28647463960627	"CARD16"	"caspase recruitment domain family member 16"	"ENSG00000204397"
"236499_at"	0.646692800841271	0.0013155195127426	3.60250868842458	-1.4870836185857	1.14825201942668	"FAAP20"	"Fanconi anemia core complex associated protein 20"	"ENSG00000162585"
"1552289_a_at"	0.646692800841271	0.00134594252237239	-3.59354747569013	-1.5014803659214	-1.20261197378405	"CILP2"	"cartilage intermediate layer protein 2"	"ENSG00000160161"
"1552402_at"	0.646692800841271	0.00137898536322366	3.58403576754053	-1.51675770250938	1.66493587144336	"CALML6"	"calmodulin like 6"	"ENSG00000169885"
"1570204_at"	0.646692800841271	0.00138846735291016	3.58134731994832	-1.52107505031722	1.82457720846632	"ZBED3-AS1"	"ZBED3 antisense RNA 1"	"ENSG00000250802"
"211012_s_at"	0.646692800841271	0.00141518639318373	3.57386684055678	-1.53308612613572	0.707337358145764	"PML"	"promyelocytic leukemia"	"ENSG00000140464"
"204290_s_at"	0.646692800841271	0.00141795147422096	-3.57310058529657	-1.53431632168341	-0.822640546815693	"ALDH6A1"	"aldehyde dehydrogenase 6 family member A1"	"ENSG00000119711"
"203465_at"	0.646692800841271	0.00143111019231853	-3.56947391009042	-1.54013844420343	-0.597855829813778	"MRPL19"	"mitochondrial ribosomal protein L19"	"ENSG00000115364"
"203645_s_at"	0.646692800841271	0.00144968541021047	3.56440934922537	-1.54826784265481	1.79097255990783	"CD163"	"CD163 molecule"	"ENSG00000177575"
"218300_at"	0.646692800841271	0.00146733680584779	3.55965494922685	-1.55589825385582	1.13347890487156	"PAGR1"	"PAXIP1 associated glutamate rich protein 1"	"ENSG00000280789"
"205058_at"	0.646692800841271	0.00148449175117251	3.55508738362634	-1.56322776170856	0.755432826256943	"SLC26A1"	"solute carrier family 26 member 1"	"ENSG00000145217"
"244849_at"	0.646692800841271	0.00154100995003723	3.54039489321032	-1.58679741544803	1.74572735389145	"SEMA3A"	"semaphorin 3A"	"ENSG00000075213"
"222926_at"	0.646692800841271	0.00154345215175434	3.53977191285796	-1.58779655124864	2.04427421873296	"DCDC2"	"doublecortin domain containing 2"	"ENSG00000146038"
"206122_at"	0.646692800841271	0.00154443803567854	-3.53952069607808	-1.58819944688402	-0.86613606814679	"SOX15"	"SRY-box 15"	"ENSG00000129194"
"1568286_at"	0.646692800841271	0.00156253038108654	3.53493804238497	-1.59554841174234	1.86327991548216	"HMGA2"	"high mobility group AT-hook 2"	"ENSG00000149948"
