ID,Flux
PFK,-0.106527551237377
PFL,0.100538278362346
PGI,-1.15179843947565
PGK,0.584599651359684
PGL,-0.43626687416109
ACALD,0.221971576534854
AKGt2r,-0.198737249575619
PGM,0.570481159655105
PIt2r,-0.0347177108513571
ALCD2x,0.320544302375463
ACALDt,-0.0985727258406088
ACKr,-0.257048813649336
PPC,-0.569285752074543
ACONTa,-0.119992296560667
ACONTb,-0.119992296560667
ATPM,0.318514542444058
PPCK,-0.150231803811039
ACt2r,-0.257048813649336
PPS,-0.108069757465273
ADK1,-0.108069757465273
AKGDH,-0.144674197508721
ATPS4r,-0.277414181648989
PTAr,0.257048813649336
PYK,0.122956851642812
BIOMASS_Ecoli_core_w_GAM,-0.00943749445493234
PYRt2,-0.263234500827076
CO2t,0.371155099736448
RPE,-0.284060911759855
CS,-0.119992296560667
RPI,0.152205962401236
SUCCt2_2,0.132648054794431
CYTBD,-0.234523873609152
D_LACt2,0.207344755651562
ENO,-0.570481159655083
SUCCt3,-0.10182278419813
ETOHt2r,0.320544302375462
SUCDi,-0.137688970251475
SUCOAS,0.144674197508721
TALA,-0.14373392362904
THD2,-0.216457488058948
TKT1,-0.143733923629043
TKT2,-0.140326988130812
TPI,-0.222745050006779
EX_ac_e,0.257048813649336
EX_acald_e,0.0985727258406088
EX_akg_e,0.198737249575619
EX_co2_e,-0.371155099736448
EX_etoh_e,-0.320544302375462
EX_for_e,0.100538278362346
EX_fru_e,-1.21244518287187
EX_fum_e,0.0540527772769146
EX_glc__D_e,1.59
EX_gln__L_e,0.0669516480207504
EX_glu__L_e,-0.306973865898898
EX_h_e,-0.670656065364147
EX_h2o_e,-0.223811706038973
EX_lac__D_e,-0.207344755651562
EX_mal__L_e,-0.225705351874525
EX_nh4_e,0.224531339621246
EX_o2_e,0.117261936804576
EX_pi_e,0.0347177108513571
EX_pyr_e,0.263234500827076
EX_succ_e,-0.234470838992561
FBA,-0.222745050006779
FBP,0.116217498769402
FORt2,-0.0451315940817892
FORt,0.0554066842805564
FRD7,-0.30363459375332
FRUpts2,1.21244518287187
FUM,0.111892846224932
FUMt2_2,-0.0540527772769146
G6PDH2r,-0.43626687416109
GAPD,-0.584599651359684
GLCpts,-1.59
GLNS,0.159110153679909
GLNabc,-0.0669516480207504
GLUDy,0.224237104537011
GLUN,0.159404388764148
GLUSy,-0.0648327157728628
GLUt2r,0.306973865898898
GND,-0.43626687416109
H2Ot,0.223811706038973
ICDHyr,-0.196141278578673
ICL,0.0761489820180054
LDH_D,0.207344755651562
MALS,0.0761489820180054
MALt2_2,0.225705351874525
MDH,0.282199680360209
ME1,0.242277697314384
ME2,-0.110730197557132
NADH16,-0.400469497110998
NADTRHD,-0.983842158197646
NH4t,-0.224531339621246
O2t,-0.117261936804576
PDH,-0.144674197508721
